,HLA-ABC,CD57,CD31,CD14,C-PEPTIDE,NESTIN,GLUCAGON,pan-Keratin,CD11b,CD44,PDX-1,CD45,CD56,B-ACTIN,FOXP3,CD4,NKX6.1,CD68,SOMATOSTATIN,CD20,CD8,CD99,CA2,NF-KB,Granzyme B,Ki67,Collagen type I,CD3,pS6,CD45RO,HLA-DR,PANCREATIC POLYPEPTIDE,GHRELIN,DNA1,DNA2
HLA-ABC,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CD57,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
CD31,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CD14,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
C-PEPTIDE,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NESTIN,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GLUCAGON,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pan-Keratin,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CD116,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
CD44,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
PDX-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
CD45,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
CD56,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
B-ACTIN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FOXP3,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,0
CD4,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
NKX6.1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
CD68,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
SOMATOSTATIN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CD20,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
CD8,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
CD99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CA2,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NF-KB,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
Granzyme B,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
Ki67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0
Collagen type I,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
CD3,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
pS6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
CD45RO,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1
HLA-DR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
PANCREATIC POLYPEPTIDE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
GHRELIN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
DNA1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0
DNA2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0
